식품명,에너지,단백질,지방,탄수화물,1회제공량
통참깨 참기름,897,0,99.62,0,100.0
롯데 가나마일드,555,9,33,55,100.0
크런키 더블크런치바 미니,190,3,11,19,36.0
통참깨 참기름,900,0,100,0,100.0
제7커피믹스3인1 18입,80,1,2,12,16.0
포 하노이,270,4,7,48,70.0
허니버터칩,175,2,12,15,30.0
비스카 대니쉬 쿠키,518,5.3,25,68,100.0
양파 왕,158,2,6,24,100.0
백설 햇당면 500G,350,0,0.5,86,100.0
링귀니 삐꼴레,345,14,1.5,69.2,100.0
나가타니엔 소바,343,16.5,2.7,62.9,100.0
그릭요거트 플레인,160,6,7.8,16,100.0
클래식 밀크 아이스크림,216,3.6,13.9,19.1,100.0
마카다미아 넛 아이스크림,272,3.4,21.2,16.7,100.0
simplus 짱이야,340,3,18,41,65.0
고구마 왕,484,5,12,89,110.0
귀여운 내 친구 뽀로로 딸기맛,80,0,0,19,235.0
귀여운 내 친구 뽀로로 밀크맛,80,0,0,19,235.0
귀여운 내 친구 뽀로로 블루베리맛,80,0,0,19,235.0
귀여운 내 친구 뽀로로 사과맛,80,0,0,19,235.0
글램디 4킬로칼로리 곤약워터젤리 자두맛,4,0,0,12,150.0
글램디 5킬로칼로리 워터젤리 망고맛,5,0,0,14,170.0
글램디 5킬로칼로리 워터젤리 사과맛,5,0,0,13,170.0
라이스 스틱 누들 3MM,893,17.63,1.98,201,250.0
레드불 에너지 드링크,115,0,0,27,250.0
메밀소바,260,11,0.4,53,100.0
봉평 메밀전병,190,69,8,23,100.0
새우 왕,141,2,4.6,23,30.0
아침에주스 100% 유기농 포도,150,1,0,36,250.0
옛날 당면,345,0,0,86,100.0
오션스프레이 크랜베리 클래식,155,0,0,39,340.0
웰치 사과주스,52,0,0,13,100.0
육즙 가득 짬뽕군만두,185,6,11,15,100.0
쥬시쿨 자두,36,0,0,9,100.0
짜장 불닭볶음면,560,13,19,84,140.0
카스타드 460G,102,1,6,11,23.0
스모크 닭다리,165,23,7,2,105.0
목장의 신선함이 살아있는 딸기 요구르트,79,2,3,11,80.0
목장의 신선함이 살아있는 플레인 요구르트,168,8,6.7,19,225.0
맛단지 바나나우유,190,6,7.3,25,220.0
빙그레 바나나맛 우유,208,7,8,27,240.0
후디스 포켓몬 초코,245,6,7.3,39,300.0
허니 초콜릿 우유,130,6,4,17,200.0
요플레 클래식,85,3,2.5,12,85.0
소프트 모카치즈케익,194,3,10,23,50.0
소프트 고구마치즈케익,166,3,6,25,50.0
포도쨈,50,0,0,12,20.0
후르츠쨈,50,0,0,13,20.0
쫄깃한 잉글리쉬 머핀,128,3,1.8,25,60.0
브라운 브레드,170,4,3.6,31,60.0
사과잼,229,0.1,0.36,45.2,100.0
망고잼,223,0.2,0.36,43.9,100.0
딸기잼,258,0.32,0.6,50.3,100.0
복음자리 무농약 무화과로 만든 잼,245,0,0,61,100.0
복음자리 무농약 유자와 감귤로 만든 잼,265,0,0,65,100.0
유자 마멀레이드,254,0,0,63,100.0
기본에 충실한 곡물쉐이크,209,12,4.3,31,50.0
든든함을 더한 단호박 곡물쉐이크,200,6,3.5,31,50.0
달콤함을 더한 딸기 곡물쉐이크,207,8,3.4,36,50.0
부드러움을 더한 바나나 곡물쉐이크,225,7,7,33,50.0
